Word,IPA,PartOfSpeech,Meaning,Level
ability, [əbíləti], 名詞, 能力, 5
accept, [əksépt], 動詞, 〜を受け入れる, 5
access, [ǽkses], 名詞/動詞, 利用権・接近（〜にアクセスする）, 5
account, [əkáunt], 名詞/動詞, 説明・口座（〜を説明する）, 5
accurate, [ǽkjərət], 形容詞, 正確な, 5
achieve, [ətʃíːv], 動詞, 〜を達成する, 5
activity, [æktívəti], 名詞, 活動, 5
additional, [ədíʃənl], 形容詞, 追加の, 5
admire, [ædmáiər], 動詞, 〜に感嘆する・〜を賞賛する, 5
admit, [ədmít], 動詞, 〜を認める, 5
adopt, [ədɑ́pt], 動詞, 〜を採用する・（養子を）引き取る, 5
advantage, [ædvǽntidʒ], 名詞, 利点・優位, 5
advise, [ædváiz], 動詞, 〜に助言する, 5
affect, [əfékt], 動詞, 〜に影響を与える, 5
afford, [əfɔ́ːrd], 動詞, 〜する余裕がある, 5
agree, [əgríː], 動詞, 同意する・賛成する, 5
allow, [əláu], 動詞, 〜を許可する・（〜するのを）可能にする, 5
amount, [əmáunt], 名詞/動詞, 量・総計（〜に達する）, 5
announce, [ənáuns], 動詞, 〜を発表する, 5
apparent, [əpǽrənt], 形容詞, 明白な・一見〜らしい, 5
appear, [əpíər], 動詞, 〜のように見える・現れる, 5
appreciate, [əpríːʃièit], 動詞, 〜を正当に評価する・〜に感謝する, 5
appropriate, [əpróupriət], 形容詞, 適切な, 5
approve, [əprúːv], 動詞, 〜に賛成する・〜を承認する, 5
area, [έəriə], 名詞, 地域・領域, 5
argue, [άːrgjuː], 動詞, 〜と主張する・議論する, 5
article, [άːrtikl], 名詞, 記事・品物, 5
aspect, [ǽspekt], 名詞, 側面・外観, 5
assume, [əsúːm], 動詞, 〜と仮定する・（責任などを）引き受ける, 5
attend, [əténd], 動詞, 〜に出席する・（注意を）払う, 5
attitude, [ǽtitjùːd], 名詞, 態度・考え方, 5
attract, [ətrǽkt], 動詞, 〜を引きつける, 5
audience, [ɔ́ːdiəns], 名詞, 聴衆・観客, 5
authority, [əθɔ́ːrəti], 名詞, 権威・当局, 5
available, [əvéiləbl], 形容詞, 利用可能な・入手可能な, 5
average, [ǽvəridʒ], 名詞/形容詞, 平均（の）, 5
base, [béis], 動詞/名詞, 〜の基礎を置く（土台）, 5
basis, [béisis], 名詞, 基礎・根拠, 5
behavior, [bihéivjər], 名詞, 行動・振る舞い, 5
believe, [bilíːv], 動詞, 〜を信じる・〜と思う, 5
belong, [bilɔ́ːŋ], 動詞, 属する, 5
benefit, [bénəfit], 名詞/動詞, 利益・恩恵（〜に利益を与える）, 5
bore, [bɔ́ːr], 動詞, 〜を退屈させる, 5
borrow, [bάrou], 動詞, 〜を借りる, 5
